tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,"preciptype_freezingrain,snow,ice",preciptype_rain,"preciptype_rain,freezingrain","preciptype_rain,freezingrain,ice","preciptype_rain,freezingrain,snow","preciptype_rain,freezingrain,snow,ice","preciptype_rain,snow","preciptype_rain,snow,ice",preciptype_snow,preciptype_unknown
18.9,21.4,26.2,18.9,21.4,17.2,78.0,0.0,0,0.0,0.0,0.0,27.7,16.6,120.0,1012.7,51.6,15.7,303.3,26.1,10,10.0,2024-05-26T05:30:01,2024-05-26T20:16:52,0.61,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,12.0,15.5,5.0,11.4,5.8,66.0,0.0,0,0.0,0.0,0.0,29.5,16.3,58.5,1013.3,63.2,15.9,49.7,4.4,2,10.0,2023-11-09T06:35:33,2023-11-09T16:43:40,0.88,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.4,14.3,15.9,11.4,14.3,6.2,59.1,0.431,100,16.67,0.0,0.0,55.2,29.6,49.0,1018.1,99.3,15.6,29.8,2.6,1,10.0,2022-10-02T06:53:34,2022-10-02T18:36:30,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3,5.7,5.6,2.4,3.9,-2.2,57.4,0.0,0,0.0,0.0,0.0,66.6,14.2,301.0,1016.3,27.8,16.0,63.0,5.5,3,10.0,2023-12-05T07:04:34,2023-12-05T16:28:33,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24.2,28.3,37.6,24.2,30.5,22.2,71.1,14.746,100,12.5,0.0,0.0,72.0,25.9,152.9,1011.6,26.7,14.0,223.0,19.2,10,30.0,2024-08-02T05:54:13,2024-08-02T20:09:47,0.94,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.5,4.6,7.4,-3.7,2.1,-5.7,47.9,0.0,0,0.0,0.0,0.0,48.2,22.3,214.2,1017.6,29.0,16.0,74.8,6.4,4,10.0,2022-01-19T07:16:04,2022-01-19T16:57:58,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,16.1,18.3,15.0,16.1,13.9,87.1,0.319,100,54.17,0.0,0.0,53.5,27.7,40.4,1010.0,99.9,15.0,87.4,7.6,5,10.0,2024-05-15T05:38:30,2024-05-15T20:06:58,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6,6.7,6.9,0.9,3.6,-5.0,43.3,0.0,0,0.0,0.0,0.0,50.5,25.4,297.8,1012.7,16.3,16.0,106.8,9.1,5,10.0,2021-12-03T07:03:04,2021-12-03T16:28:45,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16.2,19.9,25.0,16.2,19.9,9.8,53.6,0.0,0,0.0,0.0,0.0,38.2,27.0,80.2,1017.2,0.8,16.0,305.1,26.6,9,10.0,2023-05-29T05:28:44,2023-05-29T20:18:39,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.5,7.0,7.6,0.5,4.0,2.3,73.7,9.6,100,37.5,0.0,0.0,55.1,25.4,314.5,1013.2,85.3,12.4,91.5,7.9,5,10.0,2022-11-16T06:44:07,2022-11-16T16:37:09,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
