ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-05-21,18.223619889014277,18.745988219410883,28.936349843945827,18.223619889014277,18.223619889014277,5.450637503633547,5.450637503633547,5.450637503633547,-0.2409860727018709,-0.2409860727018709,-0.2409860727018709,5.6916235763354175,5.6916235763354175,5.6916235763354175,0.0,0.0,0.0,23.674257392647824
2023-05-22,18.22431860482622,18.70301235236592,29.148245433539376,18.22431860482622,18.22431860482622,5.682084875441154,5.682084875441154,5.682084875441154,-0.319440375169311,-0.319440375169311,-0.319440375169311,6.001525250610465,6.001525250610465,6.001525250610465,0.0,0.0,0.0,23.90640348026737
2023-05-23,18.225017316422562,19.326457704455215,29.059022902651847,18.225017316422562,18.225017316422562,5.768428536732621,5.768428536732621,5.768428536732621,-0.5168111669964597,-0.5168111669964597,-0.5168111669964597,6.285239703729081,6.285239703729081,6.285239703729081,0.0,0.0,0.0,23.993445853155183
2023-05-24,18.225716028018905,20.408535392229858,30.0991274557967,18.225716028018905,18.225716028018905,6.730408641254241,6.730408641254241,6.730408641254241,0.19024821636254907,0.19024821636254907,0.19024821636254907,6.540160424891693,6.540160424891693,6.540160424891693,0.0,0.0,0.0,24.956124669273144
2023-05-25,18.226414739615247,20.536103075921403,30.289580131001863,18.226414739615247,18.226414739615247,7.296427277092886,7.296427277092886,7.296427277092886,0.5321750089997983,0.5321750089997983,0.5321750089997983,6.764252268093088,6.764252268093088,6.764252268093088,0.0,0.0,0.0,25.522842016708132
2023-05-26,18.227113451211586,20.467587168247412,30.768294511501946,18.227113451211586,18.227113451211586,7.593253529627686,7.593253529627686,7.593253529627686,0.6371528917430981,0.6371528917430981,0.6371528917430981,6.956100637884589,6.956100637884589,6.956100637884589,0.0,0.0,0.0,25.820366980839275
2023-05-27,18.22781216280793,19.441242291284095,30.193409674897616,18.22781216280793,18.22781216280793,6.832608293178665,6.832608293178665,6.832608293178665,-0.2823385022323746,-0.2823385022323746,-0.2823385022323746,7.11494679541104,7.11494679541104,7.11494679541104,0.0,0.0,0.0,25.060420455986595
2023-05-28,18.22851087440427,20.389545319880025,30.135161664105716,18.22851087440427,18.22851087440427,6.999722225800353,6.999722225800353,6.999722225800353,-0.24098607270325112,-0.24098607270325112,-0.24098607270325112,7.240708298503603,7.240708298503603,7.240708298503603,0.0,0.0,0.0,25.228233100204626
2023-05-29,18.229209586000614,20.20512923393961,30.285582712386997,18.229209586000614,18.229209586000614,7.01454357994132,7.01454357994132,7.01454357994132,-0.31944037517037094,-0.31944037517037094,-0.31944037517037094,7.33398395511169,7.33398395511169,7.33398395511169,0.0,0.0,0.0,25.243753165941932
2023-05-30,18.229908297596957,19.911944508437816,30.153272843728406,18.229908297596957,18.229908297596957,6.879231887364014,6.879231887364014,6.879231887364014,-0.5168111669981403,-0.5168111669981403,-0.5168111669981403,7.396043054362155,7.396043054362155,7.396043054362155,0.0,0.0,0.0,25.10914018496097
2023-05-31,18.2306070091933,20.73829479754685,30.852444537659885,18.2306070091933,18.2306070091933,7.619047250159497,7.619047250159497,7.619047250159497,0.19024821636014208,0.19024821636014208,0.19024821636014208,7.428799033799355,7.428799033799355,7.428799033799355,0.0,0.0,0.0,25.849654259352796
